id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-10-12T21:07:09;RAM Focused;PAID;CASH_ON_DELIVERY;2020-10-13T05:29:16;64379;Australia 1080p Intranet;1
2;2020-10-12T18:21:25;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-10-12T22:17:06;8068;Baby;2
3;2020-10-13T04:03:13;monitor;CANCELLED;CREDIT_CARD;2020-10-12T19:54:35;97394;Rubber synergy program;3
4;2020-10-12T16:37:15;EXE parse strategic;CANCELLED;PAYPAL;2020-10-12T20:42:25;2286;HTTP;4
5;2020-10-12T12:52:26;black Awesome;PAID;CASH_ON_DELIVERY;2020-10-12T12:54:20;49531;Agent SDD auxiliary;5
6;2020-10-12T23:25:00;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-10-12T15:17:10;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-10-13T01:58:36;back up Toys;ISSUED;PAYPAL;2020-10-13T04:54:15;10756;Arizona Awesome Fresh Soap system;7
8;2020-10-12T22:30:46;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-10-12T22:19:49;50263;deploy;8
9;2020-10-12T16:20:44;Credit Card Account;CANCELLED;CREDIT_CARD;2020-10-13T02:43:53;308;payment Fantastic Fresh Soap;9
10;2020-10-13T02:45:07;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-10-13T06:30:56;94911;Granite Rubber Pizza;10
