id;street_address;postal_code;city;state_province;name
1;firmware;Liaison compress proactive;Heidenreichmouth;Tasty Frozen Sausages SMS Usability;orchestrate Lead Balboa US Dollar
2;Monitored;Chair;South Aniyaland;COM tan;sky blue
3;collaboration connecting Avenue;Balboa US Dollar Games;Williamsonfurt;Computers;Georgia Berkshire bypass
4;application Sports driver;quantify;Mitchellberg;Iraqi Dinar deposit hard drive;quantifying bus
5;Health;PNG cross-platform Grocery;Adaview;interactive Malaysia;Soap Brunei Dollar sky blue
6;Tactics Movies;explicit SDD Sudan;Helenbury;olive Profit-focused;Mauritius Rupee
7;Mississippi Buckinghamshire;calculate standardization Cambridgeshire;South Halle;infomediaries;radical systematic Sports
8;Automotive Future;Analyst haptic;Hoppechester;Mill programming calculate;Sri Lanka invoice parsing
9;GB robust;Colorado efficient Assurance;Kennediville;Soft Forward JSON;deposit bottom-line
10;Malaysia Drive United States Minor Outlying Islands;Mouse;Stokesborough;firewall compress Key;Cambridgeshire Jersey
