id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-10-12T13:55:19;payment unleash Jamaican Dollar;1
2;Rest;2020-10-13T09:11:49;Plains;2
3;Quality Plastic plum;2020-10-12T13:32:11;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-10-13T09:59:23;Architect SSL;4
5;zero tolerance;2020-10-13T06:55:42;user-facing CSS;5
6;ADP Ouguiya;2020-10-13T02:52:10;Garden;6
7;auxiliary;2020-10-13T11:08:10;functionalities Bedfordshire withdrawal;7
8;Data;2020-10-12T14:06:11;Viaduct hybrid;8
9;mesh;2020-10-13T12:31:50;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-10-13T10:30:44;Re-engineered withdrawal Ball;10
